









Frequency of observations in the selected location(s).:
Number of taxa: 	20

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4874.0	3955.0	4446.0	5574.0	4607.0	4843.0	5100.0	4636.0	3971.0	3583.0	4203.0	5786.0	3591.0	2856.0	2989.0	3510.0	2557.0	2829.0	2488.0	4193.0	2893.0	2822.0	3167.0	4004.0	3105.0	3087.0	2599.0	3951.0	2724.0	2923.0	2790.0	3179.0	2387.0	2114.0	2191.0	2476.0	2187.0	2637.0	2700.0	3857.0	2527.0	2961.0	2441.0	2993.0	2772.0	2932.0	3001.0	5067.0	

Red Junglefowl (Domestic type) (<em class="sci">Gallus gallus (Domestic type)</em>)	0.103611	0.0786346	0.0708502	0.0789379	0.0796614	0.0914722	0.0780392	0.0839085	0.0843616	0.0951716	0.0863669	0.0839959	0.0921749	0.094888	0.0953496	0.082906	0.0993352	0.1032167	0.0715434	0.0574767	0.0625648	0.0690999	0.0539943	0.0611888	0.0573269	0.0625202	0.073105	0.0569476	0.0550661	0.0554225	0.0738351	0.07581	0.065354	0.0804163	0.0725696	0.0678514	0.0708733	0.0766022	0.0807407	0.0798548	0.0783538	0.0759878	0.0946333	0.0895423	0.0811688	0.0794679	0.0893036	0.1055852	
Gray Francolin (<em class="sci">Ortygornis pondicerianus</em>)	0.1122281	0.1120101	0.1003149	0.1008253	0.0848708	0.087549	0.0939216	0.0957722	0.0934273	0.107731	0.0937426	0.0865883	0.0765803	0.1001401	0.0823018	0.0883191	0.089167	0.0823613	0.0767685	0.0710708	0.0636018	0.0768958	0.0543101	0.0661838	0.0566828	0.0615484	0.071566	0.0678309	0.0785609	0.0889497	0.090681	0.0987732	0.0842061	0.0936613	0.109539	0.0916801	0.1005944	0.088358	0.0911111	0.0951517	0.0945786	0.1016548	0.0991397	0.1105914	0.1017316	0.0907231	0.0986338	0.1045984	
Black Francolin (<em class="sci">Francolinus francolinus</em>)	0.0194912	0.0217446	0.0186685	0.0238608	0.0280009	0.0229197	0.0229412	0.0440035	0.0249307	0.0281887	0.0306924	0.036813	0.0306321	0.0388655	0.0294413	0.0407407	0.0394994	0.0420643	0.0458199	0.0424517	0.0349119	0.0393338	0.0299968	0.0402098	0.0309179	0.0385488	0.0203925	0.0197418	0.0168869	0.0164215	0.0096774	0.0138408	0.0075408	0.0113529	0.0109539	0.0125202	0.0137174	0.0136519	0.0137037	0.017371	0.0162248	0.0138467	0.0167964	0.0180421	0.0162338	0.0177353	0.0136621	0.0163805	
Japanese Quail (<em class="sci">Coturnix japonica</em>)	2.052E-4	2.528E-4	2.249E-4	1.794E-4	0.0013024	8.259E-4	3.922E-4	2.157E-4	0.0	2.791E-4	4.759E-4	0.0012098	8.354E-4	0.0010504	0.0	5.698E-4	3.911E-4	7.07E-4	4.019E-4	7.155E-4	3.457E-4	0.0010631	0.0015	2.498E-4	9.662E-4	9.718E-4	3.848E-4	5.062E-4	3.671E-4	0.0010263	0.0	0.0015728	0.0	9.461E-4	4.564E-4	4.039E-4	0.0	0.0	0.0	5.185E-4	0.0011872	3.377E-4	0.001229	0.0	0.0	3.411E-4	0.0013329	1.974E-4	
Chukar (<em class="sci">Alectoris chukar</em>)	0.0045137	0.0058154	0.011471	0.0078938	0.0136748	0.0082593	0.0088235	0.0101381	0.0143541	0.0150712	0.0085653	0.0103699	0.0091896	0.0101541	0.0100368	0.0094017	0.0101682	0.0106045	0.011254	0.016933	0.0082959	0.0159461	0.0154721	0.0094905	0.0119163	0.0103661	0.0076953	0.0060744	0.0077093	0.0078686	0.0103943	0.0069204	0.0117302	0.0094607	0.0086718	0.0060582	0.0050297	0.0098597	0.007037	0.006741	0.0122675	0.0114826	0.0081934	0.0053458	0.005772	0.0068213	0.0079973	0.0065127	
Erckel's Francolin (<em class="sci">Pternistis erckelii</em>)	0.0642183	0.0687737	0.0557805	0.0592034	0.0902974	0.057196	0.044902	0.0614754	0.0672375	0.0569355	0.0694742	0.0648116	0.0562517	0.0612745	0.0612245	0.0518519	0.0606179	0.0650407	0.0747588	0.0641545	0.0663671	0.0552799	0.0366277	0.0604396	0.041868	0.0421121	0.0384763	0.0455581	0.0374449	0.0424222	0.0448029	0.0415225	0.0410557	0.0520341	0.0470105	0.0541195	0.0402378	0.0447478	0.0507407	0.0565206	0.0470914	0.0577508	0.0561245	0.0554627	0.0519481	0.0675307	0.056981	0.0544701	
francolin sp. (<em class="sci">Phasianidae sp. (francolin sp.)</em>)	6.155E-4	0.0	2.249E-4	8.97E-4	4.341E-4	2.065E-4	7.843E-4	2.157E-4	2.518E-4	2.791E-4	0.0	0.0015	2.785E-4	0.0	0.0	2.849E-4	0.0	0.0	4.019E-4	4.77E-4	0.0	3.544E-4	6.315E-4	0.0	0.0	6.479E-4	3.848E-4	7.593E-4	0.0	0.0	0.0	0.0	0.0	0.0	4.564E-4	8.078E-4	0.0	7.584E-4	3.704E-4	7.778E-4	3.957E-4	0.0010132	0.0	0.0010023	0.0010823	0.0010232	0.0	9.868E-4	
American/Greater Flamingo (<em class="sci">Phoenicopterus ruber/roseus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.346E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
